owner_url,member_since,member_definitions,member_kudos,member_activity_count
https://cardano.ideascale.com/a/member/Kyle-LIFT/3057106-48088,"Member since Monday, 21 September 2020 13:28","Developer, Entrepreneur, Stakepool operator",359,69
https://cardano.ideascale.com/a/member/Kyle-LIFT/3057106-48088,"Member since Monday, 21 September 2020 13:28","Developer, Entrepreneur, Stakepool operator",359,69
https://cardano.ideascale.com/a/member/Antoine-De-Vuyst/3062395-48088,"Member since Tuesday, 12 January 2021 18:39","Developer, Entrepreneur, Community manager, Teacher",62,47
https://cardano.ideascale.com/a/member/Leobel-Izquierdo/3069705-48088,"Member since Saturday, 20 February 2021 19:34","Developer, Entrepreneur, Stakepool operator",124,35
https://cardano.ideascale.com/a/member/Wada/3069687-48088,"Member since Saturday, 20 February 2021 18:13","Developer, Entrepreneur, Marketing professional, Stakepool operator, Community manager, Teacher",570,380
https://cardano.ideascale.com/a/member/kebemax/3092123-48088,"Member since Sunday, 6 June 2021 12:24","Entrepreneur, Marketing professional",19,83
https://cardano.ideascale.com/a/member/drakemonroe/3055594-48088,"Member since Wednesday, 16 September 2020 20:06","Teacher, Other/Prefer not to say",347,494
https://cardano.ideascale.com/a/member/Gary-Heyer/3096767-48088,"Member since Wednesday, 21 July 2021 05:18",Entrepreneur,19,107
https://cardano.ideascale.com/a/member/RBM-dev/3056495-48088,"Member since Friday, 18 September 2020 01:40","Developer, Entrepreneur",30,43
https://cardano.ideascale.com/a/member/Gary-Heyer/3096767-48088,"Member since Wednesday, 21 July 2021 05:18",Entrepreneur,19,107
https://cardano.ideascale.com/a/member/V-Thrillheart/3082997-48088,"Member since Wednesday, 7 April 2021 20:48","Entrepreneur, Marketing professional, Other/Prefer not to say",13,39
https://cardano.ideascale.com/a/member/Vincent-Brandon/3091054-48088,"Member since Friday, 28 May 2021 00:10","Developer, Entrepreneur, Teacher",107,104
https://cardano.ideascale.com/a/member/Gary-Heyer/3096767-48088,"Member since Wednesday, 21 July 2021 05:18",Entrepreneur,19,107
https://cardano.ideascale.com/a/member/Richard/3092174-48088,"Member since Sunday, 6 June 2021 19:55","Developer, Entrepreneur",32,10
https://cardano.ideascale.com/a/member/Nikola-Paunovi%C4%87/3066494-48088,"Member since Sunday, 14 February 2021 21:55",Developer,13,11
https://cardano.ideascale.com/a/member/mavster04/3096860-48088,"Member since Thursday, 22 July 2021 10:13","Developer, Entrepreneur",34,14
https://cardano.ideascale.com/a/member/Emurgo-Engineering/3065444-48088,"Member since Wednesday, 10 February 2021 17:17",Developer,0,3
https://cardano.ideascale.com/a/member/Q-U-A-S-A-R/3055556-48088,"Member since Wednesday, 16 September 2020 19:53",Other/Prefer not to say,332,678
https://cardano.ideascale.com/a/member/adalywallet/3096657-48088,"Member since Monday, 19 July 2021 12:06","Developer, Entrepreneur, Marketing professional, Stakepool operator",16,48
https://cardano.ideascale.com/a/member/Carl-Henry-Global/3097499-48088,"Member since Saturday, 24 July 2021 02:55",Entrepreneur,67,363
https://cardano.ideascale.com/a/member/Aharon-Porath/3094499-48088,"Member since Thursday, 24 June 2021 10:27",Entrepreneur,24,75
https://cardano.ideascale.com/a/member/thunarson7999/3102836-48088,"Member since Thursday, 26 August 2021 10:53",Other/Prefer not to say,2,1
https://cardano.ideascale.com/a/member/carjcleite/3096826-48088,"Member since Wednesday, 21 July 2021 21:53",Other/Prefer not to say,6,25
https://cardano.ideascale.com/a/member/Jonas-Sonberger/3102823-48088,"Member since Thursday, 26 August 2021 10:27","Developer, Entrepreneur",0,2
https://cardano.ideascale.com/a/member/Dragon-Nguyen/3102808-48088,"Member since Thursday, 26 August 2021 09:59","Developer, Entrepreneur",0,17
https://cardano.ideascale.com/a/member/Hi%E1%BA%BFu-Tr%E1%BA%A7n/3091987-48088,"Member since Saturday, 5 June 2021 11:04",Other/Prefer not to say,4,17
https://cardano.ideascale.com/a/member/Khibar/3099800-48088,"Member since Monday, 16 August 2021 13:32","Developer, Entrepreneur",3,1
https://cardano.ideascale.com/a/member/Maarten-Menheere/3071849-48088,"Member since Sunday, 28 February 2021 10:16","Developer, Entrepreneur",60,95
https://cardano.ideascale.com/a/member/Amir/3102444-48088,"Member since Wednesday, 25 August 2021 16:34",Entrepreneur,6,15
https://cardano.ideascale.com/a/member/Michael/3101028-48088,"Member since Saturday, 21 August 2021 08:20","Developer, Entrepreneur, Community manager",2,1
https://cardano.ideascale.com/a/member/Kyle-Solomon-FROG/3056219-48088,"Member since Thursday, 17 September 2020 12:11","Developer, Entrepreneur, Marketing professional, Stakepool operator",503,92
https://cardano.ideascale.com/a/member/gkushal87/3102753-48088,"Member since Thursday, 26 August 2021 05:28","Entrepreneur, Marketing professional",0,5
https://cardano.ideascale.com/a/member/Sucy-Lin/3091420-48088,"Member since Tuesday, 1 June 2021 11:40",Marketing professional,32,11
https://cardano.ideascale.com/a/member/Cedric/3101974-48088,"Member since Tuesday, 24 August 2021 08:30",Entrepreneur,2,12
https://cardano.ideascale.com/a/member/Michael-Yagi/3069826-48088,"Member since Sunday, 21 February 2021 08:31","Developer, Entrepreneur, Stakepool operator, Teacher",176,136
https://cardano.ideascale.com/a/member/Sidney/3056768-48088,"Member since Friday, 18 September 2020 22:06","Developer, Entrepreneur, Marketing professional, Teacher, Other/Prefer not to say",11,62
https://cardano.ideascale.com/a/member/Sidney/3056768-48088,"Member since Friday, 18 September 2020 22:06","Developer, Entrepreneur, Marketing professional, Teacher, Other/Prefer not to say",11,62
https://cardano.ideascale.com/a/member/Randall-Harmon/3084778-48088,"Member since Monday, 19 April 2021 02:44","Developer, Entrepreneur",86,72
https://cardano.ideascale.com/a/member/John-Zuccaro/3061023-48088,"Member since Thursday, 10 December 2020 07:45","Entrepreneur, Marketing professional",7,10
https://cardano.ideascale.com/a/member/Sebastian-Pereira-Gutierrez/3056469-48088,"Member since Friday, 18 September 2020 00:04","Developer, Entrepreneur",5,65
https://cardano.ideascale.com/a/member/Marianna-Bonanome/3097429-48088,"Member since Friday, 23 July 2021 18:20","Entrepreneur, Community manager, Teacher",2,3
https://cardano.ideascale.com/a/member/Alan-Buxbaum/3099838-48088,"Member since Monday, 16 August 2021 17:19",Entrepreneur,3,2
https://cardano.ideascale.com/a/member/%C3%81tico-Mismana/3057032-48088,"Member since Monday, 21 September 2020 00:12","Developer, Entrepreneur, Stakepool operator, Community manager, Teacher",41,26
https://cardano.ideascale.com/a/member/George-Humphreys/3061439-48088,"Member since Wednesday, 16 December 2020 06:26","Developer, Entrepreneur, Stakepool operator, Teacher",33,30
https://cardano.ideascale.com/a/member/George-Humphreys/3061439-48088,"Member since Wednesday, 16 December 2020 06:26","Developer, Entrepreneur, Stakepool operator, Teacher",33,30
https://cardano.ideascale.com/a/member/Craig-Immel/3082684-48088,"Member since Monday, 5 April 2021 20:04",Entrepreneur,3,7
https://cardano.ideascale.com/a/member/Andrii-Voloshyn/3054400-48088,"Member since Wednesday, 12 August 2020 18:58","Entrepreneur, Marketing professional, Other/Prefer not to say",238,171
https://cardano.ideascale.com/a/member/Nebiyu/3070094-48088,"Member since Monday, 22 February 2021 00:54","Developer, Entrepreneur, Community manager",63,42
https://cardano.ideascale.com/a/member/Raz/3082043-48088,"Member since Thursday, 1 April 2021 22:58","Entrepreneur, Teacher",107,186
https://cardano.ideascale.com/a/member/Artur-Panach/3067564-48088,"Member since Thursday, 18 February 2021 14:13",Developer,5,7
https://cardano.ideascale.com/a/member/igor-babych/3102138-48088,"Member since Tuesday, 24 August 2021 15:36",Entrepreneur,2,4
https://cardano.ideascale.com/a/member/Vladimir-Sinyakov/3102405-48088,"Member since Wednesday, 25 August 2021 13:14",Developer,18,12
https://cardano.ideascale.com/a/member/Dipin-Thomas/3095933-48088,"Member since Sunday, 11 July 2021 17:36","Developer, Entrepreneur, Stakepool operator",3,41
https://cardano.ideascale.com/a/member/dcSpark/3102258-48088,"Member since Tuesday, 24 August 2021 21:19","Developer, Entrepreneur",283,15
https://cardano.ideascale.com/a/member/Zee/3102317-48088,"Member since Wednesday, 25 August 2021 02:44","Developer, Teacher, Other/Prefer not to say",5,51
https://cardano.ideascale.com/a/member/adalywallet/3096657-48088,"Member since Monday, 19 July 2021 12:06","Developer, Entrepreneur, Marketing professional, Stakepool operator",16,48
https://cardano.ideascale.com/a/member/Jon-S/3060422-48088,"Member since Monday, 23 November 2020 03:44","Developer, Entrepreneur",2,13
https://cardano.ideascale.com/a/member/Donny/3066733-48088,"Member since Tuesday, 16 February 2021 08:38","Entrepreneur, Marketing professional",33,19
https://cardano.ideascale.com/a/member/Marcin-Kugla/3078892-48088,"Member since Friday, 19 March 2021 09:12","Developer, Entrepreneur, Stakepool operator",198,129
https://cardano.ideascale.com/a/member/Lucio-Baglione/3062262-48088,"Member since Sunday, 10 January 2021 11:19","Developer, Entrepreneur",124,159
https://cardano.ideascale.com/a/member/Okgonne/3102276-48088,"Member since Tuesday, 24 August 2021 23:03",Entrepreneur,0,8
https://cardano.ideascale.com/a/member/Cedric/3101974-48088,"Member since Tuesday, 24 August 2021 08:30",Entrepreneur,2,12
